name,rarity,price,set_name,image_url
Ojama Yellow,Common,0.22,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/42941100.jpg
One-Eyed Shield Dragon,Common,0.15,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/33064647.jpg
Orca Mega-Fortress of Darkness,Super Rare,0.84,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/63120904.jpg
Ordeal of a Traveler,Common,0.68,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/39537362.jpg
Petit Angel,Common,0.23,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/38142739.jpg
Petit Dragon,Common,0.17,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/75356564.jpg
Pharaoh's Treasure,Rare,0.37,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/63571750.jpg
Pinch Hopper,Common,0.26,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/26185991.jpg
Poison Mummy,Common,0.3,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/43716289.jpg
Polymerization,Super Rare,3.87,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/24094653.jpg
Pot of Greed,Rare,6.46,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/55144522.jpg
Power of Kaishin,Common,0.21,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/77027445.jpg
Prickle Fairy,Common,0.1,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/91559748.jpg
Primal Seed,Common,0.18,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/23701465.jpg
Pyramid Energy,Common,0.15,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/76754619.jpg
Pyramid Turtle,Rare,1.43,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/77044671.jpg
Pyro Clock of Destiny,Common,0.17,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/1082946.jpg
Question,Ultra Rare,3.5,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/38723936.jpg
Raigeki,Super Rare,4.04,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/12580477.jpg
Raigeki Break,Common,2.94,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/4178474.jpg
Raise Body Heat,Common,0.22,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/51267887.jpg
Ray & Temperature,Common,0.15,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/85309439.jpg
Reaper of the Cards,Rare,0.47,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/33066139.jpg
Reaper on the Nightmare,Super Rare,14.42,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/85684223.jpg
Reasoning,Common,0.35,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/58577036.jpg
Reckless Greed,Rare,1.12,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/37576645.jpg
Recycle,Common,0.15,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/96316857.jpg
Red Medicine,Common,0.18,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/38199696.jpg
Reload,Super Rare,0.8,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/22589918.jpg
Remove Trap,Common,0.32,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/51482758.jpg
Reversal Quiz,Common,1.33,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/5990062.jpg
Right Arm of the Forbidden One,Ultra Rare,20.21,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/70903634.jpg
Right Leg of the Forbidden One,Ultra Rare,17.93,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/8124921.jpg
Ring of Destruction,Secret Rare,32.72,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/83555666.jpg
Rite of Spirit,Common,0.41,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/30450531.jpg
Robbin' Zombie,Rare,0.25,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/83258273.jpg
Root Water,Common,0.14,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/39004808.jpg
Rope of Life,Ultra Rare,1.34,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/93382620.jpg
Royal Keeper,Common,0.26,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/16509093.jpg
Royal Tribute,Common,1.08,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/72405967.jpg
Ryu Kokki,Common,0.33,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/57281778.jpg
Sacred Crane,Common,0.28,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/30914564.jpg
Salvage,Common,0.33,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/96947648.jpg
Sand Stone,Common,0.17,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/73051941.jpg
Sasuke Samurai,Super Rare,1.17,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/16222645.jpg
Sasuke Samurai #3,Rare,0.27,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/77379481.jpg
Sea Serpent Warrior of Darkness,Common,0.2,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/42071342.jpg
Secret Pass to the Treasures,Common,0.15,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/77876207.jpg
Self-Destruct Button,Common,0.29,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/57585212.jpg
Servant of Catabolism,Common,0.14,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/2792265.jpg
Shapesnatch,Common,0.2,PHARAONIC GUARDIAN,https://images.ygoprodeck.com/images/cards/4035199.jpg
Silpheed,Common,0.2,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/73001017.jpg
Silver Bow and Arrow,Common,0.36,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/1557499.jpg
Silver Fang,Common,0.28,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/90357090.jpg
Skull Red Bird,Common,0.18,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/10202894.jpg
Skull Servant,Common,0.94,LEGEND OF BLUE EYES WHITE DRAGON,https://images.ygoprodeck.com/images/cards/32274490.jpg
Skull-Mark Ladybug,Common,0.33,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/64306248.jpg
Smashing Ground,Common,0.93,INVASION OF CHAOS,https://images.ygoprodeck.com/images/cards/97169186.jpg
